Date,Lake,TAG.NUMBER,Species,Length..mm.,Weight..g.,Recap,Tag.Loss,Fin.Clipped,Notes,Gear,Site.Transect,Start.Latitude,Start.Longitude,End.Latitude,End.Longitude,On.Time..s.,Water.Temp..C.,Secchi..cm.,Weather,Year,detect
09/18/2018,N Twin,625,WAE,515,1192,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,626,WAE,366,445,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,627,WAE,670,2348,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,628,WAE,556,1730,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,629,WAE,596,2012,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,630,WAE,690,3202,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,631,WAE,602,1797,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,632,WAE,546,1773,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,633,WAE,475,1051,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,634,WAE,640,2729,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,635,WAE,385,534,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,636,BLC,360,681,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,637,WHC,330,489,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,638,WHC,304,367,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,639,WHC,325,479,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,640,BLC,252,249,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,641,WHC,270,256,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,642,WHC,260,212,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,643,WHC,255,203,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,644,WHC,232,160,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,645,WHC ,235,150,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,646,WHC,270,255,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,647,WHC,214,108,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,648,WHC,213,108,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,649,WHC,264,257,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,650,WHC,245,178,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,651,WHC,201,85,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,652,WHC,258,226,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,653,WHC,251,186,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,654,WHC,236,161,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,655,WHC,237,141,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,656,WHC,221,135,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,657,WHC,238,166,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,658,WHC,196,88,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,659,WHC ,184,66,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,660,WHC,166,49,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,661,WHC,211,101,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,662,WHC ,192,81,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,663,WHC,169,54,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,664,WHC,233,153,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,665,WHC ,176,61,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,666,WHC,190,88,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,667,WHC,175,61,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,668,WHC ,255,225,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,669,WHC,176,69,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,670,WHC,186,73,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,671,WHC ,234,162,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,672,WHC,177,57,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,673,WHC,172,56,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,674,WHC ,236,158,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,675,WHC,152,43,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,676,WHC,204,104,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,677,WHC ,205,104,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,678,WHC,178,64,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,679,WHC,238,162,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,680,WHC ,245,170,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,681,WHC,249,190,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,682,WHC,216,122,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,683,WHC ,255,226,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,684,WHC,165,53,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,685,WHC,222,138,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,686,WHC ,242,182,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,687,WHC,218,130,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,688,WHC,217,130,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,689,WHC ,168,61,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,690,WHC,196,92,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,691,BLG,192,170,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,692,BLG ,172,124,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,693,WHC,191,90,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,694,WHC,166,54,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,695,YEP,194,96,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,696,BLG,185,135,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,697,BLG,185,172,,,,Dissection,Fyke,,,,,,,,,,,
09/18/2018,N Twin,698,BLG,170,119,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,699,BLG,165,116,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,700,BLG,178,142,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,701,BLG,171,115,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,702,BLG,175,119,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,703,BLG,177,125,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,704,BLG,156,92,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,705,BLG,190,179,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,706,BLG,161,99,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,707,BLG,149,68,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,708,BLG,130,47,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,709,BLG,154,92,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,710,BLG,180,139,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,711,BLG,132,52,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,712,BLG,127,39,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,713,BLG,128,42,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,714,BLG,155,88,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,715,WHC,162,49,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,716,BLG,126,50,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,717,BLG,104,21,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,718,WHC,162,51,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,719,BLG,121,38,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,720,BLG,115,30,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,721,WHC,161,46,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,722,BLG,120,32,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,723,BLG,116,35,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,724,BLG,102,22,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,725,BLG,97,18,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,726,BLG ,92,14,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,727,BLG ,88,12,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,728,BLG ,80,10,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,729,BLG ,83,11,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,730,BLG ,84,11,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,731,BLG ,95,17,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,732,BLG ,85,11,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,733,BLG ,101,20,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,734,BLG ,105,21,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,735,BLG ,103,21,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/18/2018,N Twin,736,BLG ,79,11,,,,Dissection,Fyke,,,,,,,,,,2018,1
09/13/2018,S Twin,600,WHC,234,170,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,601,WHC,231,145,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,602,WHC,201,98,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,603,WHC,188,77,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,604,WHC,168,52,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,605,WHC,244,190,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,606,WHC,226,142,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,607,WHC,203,102,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,608,WHC,188,77,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,609,WHC,193,86,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,610,WHC,216,112,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,611,WHC,170,57,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,612,WHC,193,79,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,613,WHC,180,65,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,614,WHC,203,105,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,615,WHC,173,60,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,616,WHC,216,130,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,617,WHC,191,79,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,618,WHC,206,112,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,619,WHC,198,84,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,620,WHC,229,149,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,621,WHC,196,86,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,622,WHC,193,84,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,623,WHC,196,95,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1
09/13/2018,S Twin,624,WHC,216,139,,,,Dissection,Fyke,,,,,,,21.1,,85F Partly cloudy S wind at 18mph,2018,1