"Date","Lake","Transect","Species","Effort","Obs","cpue"
2019-06-18,"Silver","7","BIB",0.159722222222222,1,6.26086956521739
2019-06-18,"Silver","7","COC",0.159722222222222,2,12.5217391304348
2019-04-28,"Silver","6","dummy",0.166388888888889,1,6.01001669449082
2019-06-03,"Center","4","COC",0.171666666666667,2,11.6504854368932
2019-05-30,"Blue","3","COC",0.204166666666667,13,63.6734693877551
2019-04-27,"Center","4","COC",0.210833333333333,8,37.9446640316206
2019-04-28,"Silver","4","dummy",0.220555555555556,1,4.53400503778338
2019-06-11,"Center","2","BIB",0.222222222222222,2,9
2019-06-11,"Center","2","COC",0.222222222222222,1,4.5
2019-06-13,"Storm","2","COC",0.222777777777778,1,4.48877805486284
2019-06-03,"Center","3","COC",0.227777777777778,2,8.78048780487805
2019-09-22,"Center","4","BIB",0.233333333333333,6,25.7142857142857
2019-09-07,"Storm","4","BIB",0.233333333333333,1,4.28571428571429
2019-09-07,"Center","5","BIB",0.233333333333333,5,21.4285714285714
2019-09-07,"Storm","4","COC",0.233333333333333,2,8.57142857142857
2019-09-07,"Center","5","COC",0.233333333333333,1,4.28571428571429
2019-09-22,"Center","5","BIB",0.233611111111111,1,4.28061831153389
2019-04-28,"Silver","3","dummy",0.235555555555556,1,4.24528301886792
2019-06-04,"Storm","4","BIB",0.235833333333333,1,4.24028268551237
2019-06-04,"Storm","4","COC",0.235833333333333,4,16.9611307420495
2019-04-27,"Center","2","COC",0.236944444444444,3,12.6611957796014
2019-06-13,"Storm","6","COC",0.237777777777778,1,4.20560747663551
2019-09-07,"Center","4","dummy",0.241666666666667,1,4.13793103448276
2019-05-27,"5 Island","1","dummy",0.242222222222222,1,4.12844036697248
2019-06-13,"Storm","1","COC",0.243055555555556,6,24.6857142857143
2019-07-30,"Center","3","COC",0.243333333333333,2,8.21917808219178
2019-05-31,"Storm","6","COC",0.246111111111111,8,32.5056433408578
2019-04-27,"Center","5","dummy",0.246944444444444,1,4.04949381327334
2019-05-31,"Storm","1","COC",0.249444444444444,3,12.0267260579065
2019-06-13,"Storm","4","COC",0.249722222222222,1,4.00444938820912
2019-08-06,"5 Island","1","BIB",0.25,1,4
2019-09-08,"5 Island","1","BIB",0.25,1,4
2019-08-05,"Center","1","BIB",0.25,1,4
2019-09-22,"Center","2","BIB",0.25,4,16
2019-09-07,"Center","3","BIB",0.25,3,12
2019-07-02,"N Twin","4","BIB",0.25,2,8
2019-05-07,"S Twin","4","BIB",0.25,4,16
2019-07-30,"Silver","5","BIB",0.25,1,4
2019-08-01,"Storm","9","BIB",0.25,1,4
2019-09-08,"5 Island","1","COC",0.25,3,12
2019-07-02,"N Twin","1","COC",0.25,7,28
2019-07-30,"Silver","1","COC",0.25,6,24
2019-08-01,"Storm","1","COC",0.25,4,16
2019-09-07,"Storm","1","COC",0.25,2,8
2019-09-08,"5 Island","2","COC",0.25,4,16
2019-09-22,"Center","2","COC",0.25,1,4
2019-07-02,"N Twin","2","COC",0.25,8,32
2019-05-15,"Storm","2","COC",0.25,1,4
2019-08-01,"Storm","2","COC",0.25,6,24
2019-09-08,"5 Island","3","COC",0.25,2,8
2019-07-02,"N Twin","3","COC",0.25,5,20
2019-09-07,"Storm","3","COC",0.25,5,20
2019-08-06,"5 Island","4","COC",0.25,1,4
2019-08-05,"Center","4","COC",0.25,2,8
2019-07-02,"N Twin","4","COC",0.25,3,12
2019-07-30,"Silver","4","COC",0.25,6,24
2019-08-01,"Storm","4","COC",0.25,7,28
2019-07-30,"Silver","5","COC",0.25,8,32
2019-09-07,"Storm","5","COC",0.25,10,40
2019-07-30,"Silver","6","COC",0.25,5,20
2019-05-31,"Storm","7","COC",0.25,1,4
2019-05-31,"Storm","9","COC",0.25,12,48
2019-08-01,"Storm","9","COC",0.25,3,12
2019-09-07,"Storm","2","dummy",0.25,1,4
2019-08-05,"Center","3","dummy",0.25,1,4
2019-05-27,"5 Island","2","BIB",0.250277777777778,1,3.99556048834628
2019-05-27,"5 Island","3","BIB",0.250277777777778,1,3.99556048834628
2019-07-30,"Center","4","BIB",0.250277777777778,5,19.9778024417314
2019-05-30,"Blue","2","COC",0.250277777777778,11,43.9511653718091
2019-05-27,"5 Island","3","COC",0.250277777777778,1,3.99556048834628
2019-09-21,"5 Island","4","COC",0.250277777777778,2,7.99112097669256
2019-07-30,"Center","4","COC",0.250277777777778,1,3.99556048834628
2019-10-20,"5 Island","1","dummy",0.250277777777778,1,3.99556048834628
2019-07-30,"Silver","2","COC",0.250833333333333,10,39.8671096345515
2019-08-02,"5 Island","3","COC",0.250833333333333,5,19.9335548172757
2019-09-21,"Silver","5","COC",0.250833333333333,2,7.9734219269103
2019-08-01,"Storm","5","COC",0.250833333333333,2,7.9734219269103
2019-05-07,"S Twin","1","BIB",0.251111111111111,3,11.9469026548673
2019-05-07,"S Twin","1","COC",0.251111111111111,2,7.9646017699115
2019-05-15,"Storm","3","COC",0.251111111111111,1,3.98230088495575
2019-06-14,"5 Island","5","COC",0.251111111111111,4,15.929203539823
2019-09-22,"Storm","5","COC",0.251111111111111,3,11.9469026548673
2019-06-04,"Storm","3","BIB",0.251388888888889,2,7.95580110497238
2019-09-22,"Storm","4","BIB",0.251388888888889,1,3.97790055248619
2019-08-05,"Center","2","COC",0.251388888888889,2,7.95580110497238
2019-06-04,"Storm","3","COC",0.251388888888889,1,3.97790055248619
2019-09-22,"Storm","4","COC",0.251388888888889,4,15.9116022099448
2019-08-02,"5 Island","6","COC",0.251388888888889,3,11.9337016574586
2019-06-03,"Silver","2","COC",0.251944444444444,8,31.7530319735391
2019-10-20,"5 Island","5","COC",0.251944444444444,1,3.96912899669239
2019-08-01,"Storm","7","COC",0.251944444444444,1,3.96912899669239
2019-08-05,"Center","5","dummy",0.251944444444444,1,3.96912899669239
2019-05-15,"Storm","7","BIB",0.252222222222222,3,11.8942731277533
2019-05-30,"Blue","1","COC",0.252222222222222,9,35.6828193832599
2019-09-22,"Storm","3","COC",0.252222222222222,3,11.8942731277533
2019-06-18,"Silver","5","COC",0.252222222222222,7,27.7533039647577
2019-05-15,"Storm","6","COC",0.252222222222222,4,15.8590308370044
2019-05-15,"Storm","7","COC",0.252222222222222,8,31.7180616740088
2019-09-22,"Storm","2","dummy",0.252222222222222,1,3.9647577092511
2019-08-02,"5 Island","5","COC",0.2525,1,3.96039603960396
2019-09-21,"5 Island","5","COC",0.252777777777778,2,7.91208791208791
2019-04-28,"Silver","5","dummy",0.253055555555556,1,3.95170142700329
2019-05-20,"Silver","4","BIB",0.253611111111111,1,3.94304490690033
2019-05-20,"Silver","4","COC",0.253611111111111,2,7.88608981380066
2019-07-30,"Center","1","COC",0.253888888888889,2,7.87746170678337
2019-05-07,"S Twin","3","BIB",0.254166666666667,1,3.9344262295082
2019-09-21,"Silver","1","COC",0.254166666666667,8,31.4754098360656
2019-05-07,"S Twin","3","COC",0.254166666666667,2,7.86885245901639
2019-09-21,"5 Island","2","BIB",0.254444444444444,3,11.7903930131004
2019-09-22,"Storm","6","COC",0.254444444444444,2,7.86026200873363
2019-06-18,"Silver","2","COC",0.254722222222222,1,3.92584514721919
2019-07-30,"Silver","3","COC",0.254722222222222,3,11.7775354416576
2019-09-21,"5 Island","1","BIB",0.255,2,7.84313725490196
2019-08-06,"5 Island","2","COC",0.255277777777778,4,15.6692056583243
2019-06-03,"Silver","3","BIB",0.255833333333333,1,3.90879478827362
2019-06-03,"Silver","3","COC",0.255833333333333,1,3.90879478827362
2019-08-02,"5 Island","7","COC",0.256388888888889,5,19.501625135428
2019-06-14,"5 Island","3","dummy",0.256388888888889,1,3.90032502708559
2019-07-30,"Center","2","BIB",0.256666666666667,1,3.8961038961039
2019-07-30,"Center","2","COC",0.256666666666667,1,3.8961038961039
2019-10-20,"5 Island","2","BIB",0.257222222222222,3,11.6630669546436
2019-10-20,"5 Island","2","COC",0.257222222222222,2,7.77537796976242
2019-05-20,"Silver","1","dummy",0.257777777777778,1,3.87931034482759
2019-09-21,"Silver","3","COC",0.258055555555556,4,15.5005382131324
2019-05-15,"Storm","4","COC",0.259166666666667,2,7.71704180064309
2019-06-11,"Center","1","COC",0.260555555555556,1,3.83795309168444
2019-08-06,"5 Island","3","dummy",0.261666666666667,1,3.82165605095541
2019-09-22,"Center","1","BIB",0.262222222222222,4,15.2542372881356
2019-06-13,"Storm","5","COC",0.262222222222222,3,11.4406779661017
2019-09-21,"Silver","2","BIB",0.263055555555556,1,3.80147835269271
2019-09-21,"Silver","2","COC",0.263055555555556,5,19.0073917634636
2019-04-28,"Silver","2","dummy",0.263333333333333,1,3.79746835443038
2019-06-03,"Center","5","BIB",0.264722222222222,7,26.4428121720881
2019-06-03,"Center","5","COC",0.264722222222222,9,33.9979013641133
2019-06-04,"Storm","1","COC",0.265277777777778,23,86.7015706806283
2019-09-21,"5 Island","3","COC",0.265555555555556,1,3.76569037656904
2019-08-06,"5 Island","5","COC",0.265555555555556,3,11.2970711297071
2019-06-17,"5 Island","2","COC",0.266388888888889,6,22.5234619395203
2019-09-07,"Center","1","BIB",0.266666666666667,5,18.75
2019-09-07,"Center","2","BIB",0.266666666666667,4,15
2019-06-18,"Silver","1","COC",0.266666666666667,3,11.25
2019-04-28,"Silver","1","dummy",0.266666666666667,1,3.75
2019-06-14,"5 Island","4","BIB",0.267222222222222,1,3.74220374220374
2019-06-25,"5 Island","1","COC",0.267222222222222,2,7.48440748440748
2019-06-14,"5 Island","4","COC",0.267222222222222,2,7.48440748440748
2019-08-02,"5 Island","4","COC",0.268055555555556,5,18.6528497409326
2019-06-03,"Center","1","BIB",0.268611111111111,12,44.6742502585315
2019-06-03,"Center","1","COC",0.268611111111111,2,7.44570837642192
2019-09-21,"Silver","6","COC",0.268888888888889,3,11.1570247933884
2019-10-20,"5 Island","4","BIB",0.269166666666667,3,11.1455108359133
2019-10-20,"5 Island","4","COC",0.269166666666667,1,3.71517027863777
2019-06-03,"Silver","4","BIB",0.269722222222222,2,7.41503604531411
2019-06-03,"Silver","4","COC",0.269722222222222,6,22.2451081359423
2019-05-30,"Blue","4","COC",0.272222222222222,17,62.4489795918367
2019-05-20,"Silver","2","BIB",0.273055555555556,1,3.66225839267548
2019-05-20,"Silver","2","COC",0.273055555555556,3,10.9867751780265
2019-05-31,"Storm","2","BIB",0.273611111111111,1,3.65482233502538
2019-05-31,"Storm","2","COC",0.273611111111111,19,69.4416243654822
2019-07-30,"Center","5","BIB",0.274444444444444,1,3.64372469635628
2019-07-30,"Center","5","COC",0.274444444444444,2,7.28744939271255
2019-05-20,"Silver","3","BIB",0.274722222222222,1,3.64004044489383
2019-05-20,"Silver","3","COC",0.274722222222222,5,18.2002022244692
2019-05-31,"Storm","3","COC",0.274722222222222,3,10.9201213346815
2019-09-08,"5 Island","4","dummy",0.275,1,3.63636363636364
2019-05-15,"Storm","5","COC",0.275277777777778,5,18.1634712411705
2019-06-17,"5 Island","1","COC",0.275833333333333,4,14.5015105740181
2019-09-21,"Silver","4","COC",0.276944444444444,11,39.7191574724173
2019-09-22,"Center","3","BIB",0.277777777777778,9,32.4
2019-06-13,"Storm","3","dummy",0.278055555555556,1,3.5964035964036
2019-06-03,"Center","2","BIB",0.278888888888889,2,7.17131474103586
2019-06-03,"Center","2","COC",0.278888888888889,2,7.17131474103586
2019-06-12,"Silver","3","BIB",0.279722222222222,3,10.7249255213505
2019-06-17,"5 Island","3","COC",0.279722222222222,6,21.4498510427011
2019-06-12,"Silver","3","COC",0.279722222222222,4,14.2999006951341
2019-06-18,"Silver","6","COC",0.279722222222222,16,57.1996027805363
2019-10-20,"5 Island","3","BIB",0.283055555555556,2,7.0657507360157
2019-10-20,"5 Island","3","COC",0.283055555555556,5,17.6643768400393
2019-09-08,"5 Island","5","COC",0.283333333333333,3,10.5882352941176
2019-09-07,"Storm","6","COC",0.283333333333333,27,95.2941176470588
2019-06-18,"Silver","3","COC",0.286388888888889,4,13.9670223084384
2019-06-03,"Silver","5","BIB",0.287222222222222,10,34.816247582205
2019-06-03,"Silver","5","COC",0.287222222222222,4,13.926499032882
2019-06-04,"Storm","2","COC",0.293055555555556,10,34.1232227488152
2019-05-20,"Silver","5","BIB",0.294444444444444,2,6.79245283018868
2019-05-20,"Silver","5","COC",0.294444444444444,2,6.79245283018868
2019-05-29,"Center","1","COC",0.294722222222222,1,3.39302544769086
2019-06-03,"Silver","1","COC",0.299166666666667,1,3.34261838440111
2019-06-28,"Storm","7","COC",0.299166666666667,4,13.3704735376045
2019-06-03,"Silver","7","BIB",0.299444444444444,1,3.33951762523191
2019-06-03,"Silver","7","COC",0.299444444444444,1,3.33951762523191
2019-05-20,"Silver","6","COC",0.299722222222222,3,10.0092678405931
2019-05-07,"S Twin","2","BIB",0.300277777777778,4,13.3209990749306
2019-05-07,"S Twin","2","COC",0.300277777777778,1,3.33024976873266
2019-06-25,"5 Island","6","COC",0.305555555555556,12,39.2727272727273
2019-06-25,"5 Island","4","COC",0.306111111111111,3,9.80036297640653
2019-05-14,"Center","3","COC",0.311944444444444,1,3.20569902048085
2019-06-17,"5 Island","4","COC",0.315277777777778,2,6.34361233480176
2019-05-27,"5 Island","5","BIB",0.315555555555556,1,3.16901408450704
2019-06-25,"5 Island","5","COC",0.315833333333333,6,18.9973614775726
2019-04-27,"Center","1","COC",0.317222222222222,15,47.2854640980736
2019-06-14,"5 Island","2","COC",0.321111111111111,2,6.22837370242214
2019-06-26,"Storm","1","COC",0.324722222222222,2,6.15911035072712
2019-06-25,"5 Island","2","COC",0.328888888888889,5,15.2027027027027
2019-05-27,"5 Island","4","COC",0.335833333333333,3,8.93300248138958
2019-06-28,"Storm","4","COC",0.341388888888889,2,5.85842148087876
2019-06-12,"Silver","1","COC",0.347222222222222,2,5.76
2019-06-12,"Silver","2","BIB",0.359166666666667,2,5.56844547563805
2019-06-12,"Silver","2","COC",0.359166666666667,3,8.35266821345708
2019-06-14,"5 Island","1","COC",0.366111111111111,2,5.46282245827011
2019-06-17,"5 Island","5","BIB",0.414722222222222,1,2.41125251172137
2019-06-17,"5 Island","5","COC",0.414722222222222,12,28.9350301406564
