Lake,Date,Year,Month,Species,Pounds
Lost Island Lake,5/6/2018,2018,5,BMB,15215
Lost Island Lake,5/6/2018,2018,5,FWD,830
Lost Island Lake,5/6/2018,2018,5,CAP,3850
Tuttle Lake,9/23/2018,2018,9,BMB,1665
Tuttle Lake,9/23/2018,2018,9,FWD,0
Tuttle Lake,9/23/2018,2018,9,CAP,1830
Tuttle Lake,9/26/2018,2018,9,BMB,4650
Tuttle Lake,9/26/2018,2018,9,FWD,0
Tuttle Lake,9/26/2018,2018,9,CAP,0
Iowa Lake,9/24/2018,2018,9,BMB,21030
Iowa Lake,9/24/2018,2018,9,FWD,0
Iowa Lake,9/24/2018,2018,9,CAP,3670
West Swan Lake,9/9/2018,2018,9,BMB,2650
West Swan Lake,9/9/2018,2018,9,FWD,0
West Swan Lake,9/9/2018,2018,9,CAP,1050
West Swan Lake,9/10/2018,2018,9,BMB,11750
West Swan Lake,9/10/2018,2018,9,FWD,0
West Swan Lake,9/10/2018,2018,9,CAP,400
High Lake,10/6/2018,2018,10,BMB,24700
High Lake,10/6/2018,2018,10,FWD,0
High Lake,10/6/2018,2018,10,CAP,2300
High Lake,10/10/2018,2018,10,BMB,400
High Lake,10/10/2018,2018,10,FWD,0
High Lake,10/10/2018,2018,10,CAP,2590
Iowa Lake,10/12/2018,2018,10,BMB,9570
Iowa Lake,10/12/2018,2018,10,FWD,0
Iowa Lake,10/12/2018,2018,10,CAP,2985
Iowa Lake,10/13/2018,2018,10,BMB,42280
Iowa Lake,10/13/2018,2018,10,FWD,0
Iowa Lake,10/13/2018,2018,10,CAP,1215
High Lake,10/24/2018,2018,10,BMB,6462
High Lake,10/24/2018,2018,10,FWD,0
High Lake,10/24/2018,2018,10,CAP,1040
Elk lake,11/1/2018,2018,11,BMB,7740
Elk lake,11/1/2018,2018,11,FWD,467
Elk lake,11/1/2018,2018,11,CAP,2945
Silver Lake (Palo Alto),10/29/2018,2018,10,BMB,10295
Silver Lake (Palo Alto),10/29/2018,2018,10,FWD,0
Silver Lake (Palo Alto),10/29/2018,2018,10,CAP,9496
Silver Lake (Palo Alto),10/30/2018,2018,10,BMB,190
Silver Lake (Palo Alto),10/30/2018,2018,10,FWD,0
Silver Lake (Palo Alto),10/30/2018,2018,10,CAP,10
Tuttle Lake,10/23/2018,2018,10,BMB,1100
Tuttle Lake,10/23/2018,2018,10,FWD,0
Tuttle Lake,10/23/2018,2018,10,CAP,19600
Silver Lake (Dickinson),10/22/2018,2018,10,BMB,61700
Silver Lake (Dickinson),10/22/2018,2018,10,FWD,3800
Silver Lake (Dickinson),10/22/2018,2018,10,CAP,9200
Ingham Lake,9/25/2018,2018,9,BMB,7100
Ingham Lake,9/25/2018,2018,9,FWD,0
Ingham Lake,9/25/2018,2018,9,CAP,8500
Ingham Lake,9/27/2018,2018,9,BMB,50
Ingham Lake,9/27/2018,2018,9,FWD,0
Ingham Lake,9/27/2018,2018,9,CAP,100
Ingham Lake,10/1/2018,2018,10,BMB,0
Ingham Lake,10/1/2018,2018,10,FWD,0
Ingham Lake,10/1/2018,2018,10,CAP,0
Ingham Lake,10/2/2018,2018,10,BMB,2700
Ingham Lake,10/2/2018,2018,10,FWD,0
Ingham Lake,10/2/2018,2018,10,CAP,3200
Ingham Lake,10/3/2018,2018,10,BMB,1600
Ingham Lake,10/3/2018,2018,10,FWD,0
Ingham Lake,10/3/2018,2018,10,CAP,3800
Ingham Lake,10/4/2018,2018,10,BMB,2900
Ingham Lake,10/4/2018,2018,10,FWD,0
Ingham Lake,10/4/2018,2018,10,CAP,3400
Five Island Lake,10/8/2018,2018,10,BMB,100
Five Island Lake,10/8/2018,2018,10,FWD,0
Five Island Lake,10/8/2018,2018,10,CAP,100
Five Island Lake,10/9/2018,2018,10,BMB,2000
Five Island Lake,10/9/2018,2018,10,FWD,0
Five Island Lake,10/9/2018,2018,10,CAP,3000
East Okoboji Lake,5/23/2018,2018,5,BMB,1100
East Okoboji Lake,5/23/2018,2018,5,FWD,50
East Okoboji Lake,5/23/2018,2018,5,CAP,2200
Five Island Lake,5/29/2018,2018,5,BMB,185
Five Island Lake,5/29/2018,2018,5,FWD,0
Five Island Lake,5/29/2018,2018,5,CAP,1934
Five Island Lake,5/15/2018,2018,5,BMB,11355
Five Island Lake,5/15/2018,2018,5,FWD,0
Five Island Lake,5/15/2018,2018,5,CAP,9779
Five Island Lake,5/21/2018,2018,5,BMB,3300
Five Island Lake,5/21/2018,2018,5,FWD,0
Five Island Lake,5/21/2018,2018,5,CAP,1100
Spirit Lake,5/2/2018,2018,5,BMB,12350
Spirit Lake,5/2/2018,2018,5,FWD,3900
Spirit Lake,5/2/2018,2018,5,CAP,8800
Spirit Lake,5/8/2018,2018,5,BMB,6000
Spirit Lake,5/8/2018,2018,5,FWD,4200
Spirit Lake,5/8/2018,2018,5,CAP,11000
Center Lake,6/4/2018,2018,6,BMB,893
Center Lake,6/4/2018,2018,6,FWD,0
Center Lake,6/4/2018,2018,6,CAP,141
Center Lake,5/9/2018,2018,5,BMB,2200
Center Lake,5/9/2018,2018,5,FWD,300
Center Lake,5/9/2018,2018,5,CAP,2043
Center Lake,1/7/2018,2018,1,BMB,7000
Center Lake,1/7/2018,2018,1,FWD,0
Center Lake,1/7/2018,2018,1,CAP,1100
Center Lake,3/19/2018,2018,3,BMB,33400
Center Lake,3/19/2018,2018,3,FWD,0
Center Lake,3/19/2018,2018,3,CAP,1200
Ingham Lake,5/22/2018,2018,5,BMB,4300
Ingham Lake,5/22/2018,2018,5,FWD,0
Ingham Lake,5/22/2018,2018,5,CAP,11200
Ingham Lake,5/30/2018,2018,5,BMB,3800
Ingham Lake,5/30/2018,2018,5,FWD,0
Ingham Lake,5/30/2018,2018,5,CAP,18200
Ingham Lake,6/3/2018,2018,6,BMB,7200
Ingham Lake,6/3/2018,2018,6,FWD,0
Ingham Lake,6/3/2018,2018,6,CAP,12650
